Governor ID,exactName,Power,T4-Kills,T5-Kills,Dead Troops,Governor ID,exactName,Power,T4-Kills,T5-Kills,Dead Troops,Governor ID,exactName,Power,T4-Kills Gained,T5-Kills Gained,Dead Troops Gained
133922905,ᴮᴴ MEO ツ,27.684.192,5.284.767,75.066,796.482,134397586,ASRAEL,24.982.614,1.007.620,16.206,354.319,134397586,ASRAEL,24.982.614,180.853,33.499,134.026
133820612,ᴮᴹTiger,27.507.292,1.228.147,115.697,615.080,133700345,ᴮᴴPhiwPhiw,24.968.249,4.546.932,19.733,232.740,133700345,ᴮᴴPhiwPhiw,24.968.249,0,0,0
134375676,ᴮᴴ Richter,27.418.442,3.700.479,65.721,676.654,133948475,PARROT 14,24.909.378,1.250.564,4.014,333.122,133948475,PARROT 14,24.909.378,345.888,168.995,37.315
134341546,ᴮᴴJehanKing,27.416.169,7.457.202,71.796,397.715,134125616,ᴮᴴ P4ST0R 7,24.827.690,6.088.587,70.627,1.209.146,134125616,ᴮᴴ P4ST0R 7,24.827.690,2.603.554,619.685,409.204
134057003,ᴮᴴWICK,27.742.655,3.085.642,272.004,440.183,133813651,ᴮᴴNeiiZ,24.805.277,1.998.656,11.332,432.962,133813651,ᴮᴴNeiiZ,24.805.277,487.236,122.132,12.376
134392036,LocalDimwit,27.325.152,1.755.529,189.264,241.889,133735993,亗DOBRO亗,24.625.715,1.845.400,0,64.433,133735993,亗DOBRO亗,24.625.715,3.257.409,160.112,20.464
134403196,ᴮᴹ  MIRA,27.360.193,322.605,33.754,58.043,134064171,ᴮᴾ Homero,24.637.067,2.888.426,23.284,443.026,134064171,ᴮᴾ Homero,24.637.067,968,0,0
134177598,ᴮᴴSherry,27.291.431,9.533.564,149.970,436.131,133589803,ᴮᴴRemmyッ,24.470.270,5.862.195,41.454,528.473,133589803,ᴮᴴRemmyッ,24.470.270,1.966.253,464.671,197.407
134200808,ᴮᴴElGato,27.225.821,6.739.980,94.552,266.639,133859647,ᴮᴴLESTER亗,24.352.935,2.283.122,13.706,525.813,133859647,ᴮᴴLESTER亗,24.352.935,Quit,,
133589803,ᴮᴴRemmyッ,27.204.785,7.828.448,506.125,725.880,133922905,ᴮᴴ MEO ツ,24.293.251,4.846.033,27.336,642.140,133922905,ᴮᴴ MEO ツ,24.293.251,438.734,47.730,154.342
133965103,Destructor,27.228.496,3.844.895,380.087,418.643,133669035,yuniekosha,24.286.660,1.790.794,3.620,344.368,133669035,yuniekosha,24.286.660,110.877,26.792,4.313
134367349,ʷʷᶜQueen,27.181.116,9.689.837,416.509,1.317.845,134432962,ᴮᴹ Bishka,24.272.781,1.884.333,5.856,431.946,134432962,ᴮᴹ Bishka,24.272.781,2.131.276,9.854,203.824
134125616,ᴮᴴ P4ST0R 7,27.146.404,8.692.141,690.312,1.618.350,134326348,亗 파파스머프 亗,24.184.683,383.240,0,110.027,134326348,亗 파파스머프 亗,24.184.683,458.698,95.505,38.717
134359855,ᴮᴹYoryk85,27.040.835,4.748.540,118.242,420.135,119462577,ANR TaxistEvgen,24.047.270,1.071.372,114.386,1.356.329,119462577,ANR TaxistEvgen,24.047.270,484.530,49.936,331.481
133557969,LYS II,26.813.130,4.634.994,459.361,570.454,134663752,anvisboy,24.036.997,816.468,2.943,270.717,134663752,anvisboy,24.036.997,2.302.133,113.915,205.526
134064171,ᴮᴾ Homero,26.869.345,2.889.394,23.284,443.026,134392036,LocalDimwit,24.021.529,1.166.853,16.955,153.768,134392036,LocalDimwit,24.021.529,588.676,172.309,88.121
133616760,ᴮᴴKoiBlacK,26.714.061,1.270.494,9.806,174.443,134647758,Mxke,23.955.240,7.117.996,42.568,553.696,134647758,Mxke,23.955.240,non found,,
133669035,yuniekosha,26.574.981,1.901.671,30.412,348.681,133616760,ᴮᴴKoiBlacK,23.928.201,1.255.739,9.806,174.443,133616760,ᴮᴴKoiBlacK,23.928.201,v,,
134663752,anvisboy,26.405.800,3.118.601,116.858,476.243,133839108,亗METEOR亗SAM,23.896.792,10.790.275,48.452,823.978,133839108,亗METEOR亗SAM,23.896.792,5.201.614,615.730,355.416
134014465,乂 Jake 乂,26.187.565,3.254.107,380.766,709.835,134341546,ᴮᴴJehanKing,23.781.437,7.045.141,22.267,368.276,134341546,ᴮᴴJehanKing,23.781.437,412.061,49.529,29.439
134432962,ᴮᴹ Bishka,26.166.108,4.015.609,15.710,635.770,134369777,ᴮᴾSnow,23.681.933,2.884.959,28.191,683.571,134369777,ᴮᴾSnow,23.681.933,Quit,,
134373304,MonkeeyDLuffy,26.101.678,2.707.206,6.283,500.922,134398822,ᶜⁿTicloud,23.678.914,792.999,1.123,421.936,134398822,ᶜⁿTicloud,23.678.914,269.656,69.407,39.003
134647758,亗 GRĒĒN 亗,25.993.404,10.323.804,200.053,888.003,134221068,Electroknight,23.594.982,295.815,0,351.589,134221068,Electroknight,23.594.982,86.947,49.724,2.629
